Species,HBL,HFL,WT,Mean_Temp,Max_Temp,Min_temp,Lat.mid,Habitat,Loc_niche,Tropical_Temperate
Apomys abrae,140,36,69,21.1,27.4,14,17.1,Forest,Terrestrial,Tropics
Apomys aurorae,140,35,78,24.5,30.4,18,15.63,Forest,Terrestrial,Tropics
Apomys banahao,138,36,79,22.8,28.6,16.8,14.05,Forest,Terrestrial,Tropics
Apomys brownorum,131,34,73,21.3,27.3,14.9,15.47,Forest,Terrestrial,Tropics
Apomys camiguinensis,110,33,40,25.6,31.5,19.5,9.18,Forest,Terrestrial,Tropics
Apomys datae,136,36,84,21.2,27.4,14,17.28,Forest,Terrestrial,Tropics
Apomys gracilirostris,150,38,88,22.4,28.3,16.4,13.22,Forest,Terrestrial,Tropics
Apomys hylocetes,112,30,45,22.7,29.5,15.4,7.86,Forest,Terrestrial,Tropics
Apomys insignis,98,30,31,26,31.9,20.1,7.68,Forest,Terrestrial,Tropics
Apomys iridensis,148,38,96,24.8,30.7,18.6,14.89,Forest,Terrestrial,Tropics
Apomys littoralis,99,25,22,25.6,31.9,19.3,7.47,Forest,Terrestrial,Tropics
Apomys lubangensis,136,39,90,27,32.3,22.3,13.78,Forest,Terrestrial,Tropics
Apomys magnus,147,40,104,22.9,28.8,16.9,14.06,Forest,Terrestrial,Tropics
Apomys microdon,107,27,36,24.4,30.3,17.9,15.86,Forest,Terrestrial,Tropics
Apomys minganensis,137,33,75,24.1,30,17.6,15.61,Forest,Terrestrial,Tropics
Apomys musculus,88,22,20,24.3,30.2,18.1,15.04,Forest,Terrestrial,Tropics
Apomys sacobianus,154,38,92,24.9,31,18.9,15.14,Forest,Terrestrial,Tropics
Apomys sierrae,140,36,82,23.5,29.5,16.6,16.87,Forest,Terrestrial,Tropics
Apomys zambalensis,143,38,88,24.8,30.8,19,15.32,Forest,Terrestrial,Tropics