Species,head_bodylength,hindfoot_length,weight,Mean_Temp,Max_Temp,Min_temp,Lat.mid,Habitat,Loc_niche,blmass_impact,residuals
Lophuromys stanleyi,118,23,46,10,14.6,5.3,0.38,Forest,Terrestrial,26.364595548647188,-3.3645955486471877
Lophuromys woosnami,121,26,47,18.4,23.9,12.7,-2.05,Forest,Terrestrial,26.906098010966545,-0.9060980109665451
Macruromys major,241,53,350,18.8,25.2,12.1,-6.34,Forest,Terrestrial,49.28012008447154,3.719879915528459
Malacomys cansdalei,144,43,82,25.9,31.7,19.1,6,Forest,Terrestrial,31.131814269762124,11.868185730237876
Malacomys edwardsi,133,33,59,26,32.2,18.9,6.72,Forest,Terrestrial,29.09382416688217,3.9061758331178282
Malacomys longipes,138,35,68,24.1,29.7,18.1,1.06,Forest,Terrestrial,30.01623488516611,4.98376511483389
Mallomys aroaensis,364,67,1238,19,25.5,12.1,-6.65,Forest,Arboreal,73.78093500488426,-6.780935004884256
Mallomys gunung,422,NA,2000,7.3,14.7,0.1,-4.1,Forest,Arboreal,86.26597974263777,NA
Mallomys istapantap,398,NA,1888,16.8,23.5,9.9,-6.14,Forest,Arboreal,81.65164805778635,NA
Mallomys rothschildi,380,65,1158,18.4,24.8,11.8,-5.36,Forest,Arboreal,76.43730753311341,-11.437307533113412
Mammelomys lanosus,162,37,116,18.1,24.4,11.7,-5.31,Forest,Terrestrial,34.45683611691195,2.5431638830880487
Margaretamys beccarii,130,28,62,24.9,29.6,20.2,0.53,Forest,Arboreal,28.563179857881913,-0.5631798578819129
Margaretamys christinae,111,20,49,20,24.7,14.8,-3.49,Forest,Arboreal,25.115567340994158,-5.115567340994158
Mastomys awashensis,122,24,46,21.2,30.7,11.1,9.34,Savanna,Terrestrial,27.082979447299962,-3.0829794472999623
Mastomys coucha,100,20,31,18.9,32.2,3.6,-24.99,Savanna,Terrestrial,23.091149929763077,-3.091149929763077
Mastomys erythroleucus,138,24,56,26.3,34.9,16.4,9.51,Savanna,Terrestrial,29.983660425208814,-5.983660425208814
Mastomys huberti,136,25,55,27.8,38.1,15.9,13.91,Savanna,Terrestrial,29.621753937552654,-4.621753937552654
Mastomys kollmannspergeri,137,27,95,27.4,38.9,14.1,13.71,Savanna,Terrestrial,29.90993144540683,-2.90993144540683
Mastomys natalensis,113,23,39,24.1,32.5,14.5,-1.31,Savanna,Terrestrial,25.4476139070228,-2.4476139070227987
Mastomys shortridgei,120,25,46,22,34,6.6,-17.04,Savanna,Terrestrial,26.723787497973575,-1.723787497973575
Maxomys alticola,158,33,90,22.8,29.1,16.5,5.74,Forest,Terrestrial,33.66787422168504,-0.6678742216850395
Maxomys baeodon,132,28,63,25.4,31.2,19.5,5.1,Forest,Terrestrial,28.925086345538077,-0.9250863455380767
Maxomys bartelsii,152,34,102,19.1,24.2,14.2,-7.07,Forest,Terrestrial,32.622872833663166,1.3771271663368339
Maxomys ochraceiventer,156,32,97,25.2,31.1,19.3,2.83,Forest,Terrestrial,33.32768404066707,-1.327684040667073
Maxomys panglima,178,40,182,26.8,31.8,22.2,9.92,Forest,Terrestrial,37.50953124128818,2.4904687587118204
Melomys bougainville,141,26,86,25.6,29.7,21.2,-6.38,Forest,Terrestrial,30.60388449909164,-4.603884499091642
Melomys burtoni,113,25,45,25,33.8,14.9,-16.39,Forest,Terrestrial,25.463901137001447,-0.46390113700144653
Melomys cervinipes,134,29,74,20.1,30.2,8.7,-24.89,Forest,Terrestrial,29.314138216491983,-0.31413821649198326
Melomys leucogaster,157,32,122,26,32.1,19.3,-6.73,Forest,Terrestrial,33.575143473574634,-1.5751434735746344
Melomys matambuai,156,35,158,26.8,30.8,22.9,-2.09,Forest,Terrestrial,33.49327087878332,1.5067291212166793
Melomys paveli,124,24,55,21.7,26.3,16.5,-3.24,Forest,Terrestrial,27.466602241594323,-3.466602241594323
Meriones shawi,137,33,78,18,32.6,2.2,33.85,Desert,Terrestrial,29.863784293800663,3.136215706199337
Mesembriomys gouldii,288,69,740,25.1,33.7,15.4,-15.04,Forest,Arboreal,58.779800842253756,10.220199157746244
Mesembriomys macrurus,230,50,285,27,36,15.8,-15.38,Forest,Arboreal,47.12811937174106,2.8718806282589426
Micaelamys namaquensis,109,25,40,19.9,32.4,5.4,-23.91,Savanna,Terrestrial,24.73194454669979,0.2680554533002102
Millardia kathleenae,148,28,93,27,35.9,16,21.63,Savanna,Terrestrial,31.880058090042418,-3.880058090042418
Mus bufo,67,15,12,18.6,24.2,12.8,-1.76,Forest,Terrestrial,17.112906537611956,-2.1129065376119556
Mus callewaerti,84,17,16,21.2,29.3,11.7,-8.87,Forest,Terrestrial,20.176896260205353,-3.1768962602053534
Mus cookii,86,20,20,21.5,30.3,10.7,22.9,Forest,Terrestrial,20.54694636285084,-0.5469463628508393
Mus fragilicauda,77,15,12,25.2,32.5,15.2,17.1,Forest,Terrestrial,18.908866284243892,-3.908866284243892
Mus indutus,55,13,5,21.5,34.5,5.8,-21.02,Savanna,Terrestrial,14.938753073345202,-1.938753073345202
Mus mahomet,67,15,10,19.1,28.1,9.5,10.18,Savanna,Terrestrial,17.107477460952406,-2.1074774609524063
Mus musculus,88,19,16,12.9,28.6,-4.4,24.17,Forest,Terrestrial,20.895280158858128,-1.895280158858128
Mus pahari,90,22,22,19.4,28.8,8.3,23,Forest,Terrestrial,21.270759338163163,0.7292406618368368
Mus setulosus,72,15,14,23.8,30.3,16.5,6.19,Forest,Terrestrial,18.016315487587473,-3.016315487587473
Mus setzeri,54,14,7,22.2,34.7,6.4,-19.04,Savanna,Terrestrial,14.764586175341556,-0.7645861753415559
Mus shortridgei,108,21,35,22.7,30.4,13.1,19.12,Forest,Terrestrial,24.538775880387725,-3.5387758803877247
Mus spretus,140,16,14,15.3,29.2,1,37.07,Shrubland,Terrestrial,30.228841764684677,-14.228841764684677
Mus terricolor,68,15,8,25.8,37.9,12.1,22.06,Forest,Terrestrial,17.28164435895605,-2.2816443589560507
Mus vulcani,93,22,20,12.6,17.6,7.7,-7.12,Forest,Terrestrial,21.804118185493195,0.19588181450680509
Myomyscus brockmani,104,21,30,23.7,31.1,15.2,3.73,Savanna,Terrestrial,23.80681929008608,-2.8068192900860787
Myomyscus verreauxii,94,22,27,16.7,28,4.5,-33.25,Shrubland,Terrestrial,22.00271592846481,-0.0027159284648092807
Niviventer cameroni,150,34,94,22.2,27.1,16.9,4.7,Forest,Scansorial,32.24196457769858,1.7580354223014183
Niviventer coninga,172,34,142,20.8,29.2,11.3,23.74,Forest,Scansorial,36.32337386011804,-2.323373860118039
Niviventer eha,118,31,38,7.1,19.9,-5.8,27.75,Forest,Scansorial,26.342879242008994,4.657120757991006
Niviventer hinpoon,140,26,60,25.2,31.9,16.6,14.37,Forest,Scansorial,30.353710527854307,-4.353710527854307
Niviventer niviventer,137,30,62,18.7,28.9,7.1,26.9,Forest,Scansorial,29.82035168052427,0.17964831947573145
Niviventer rapit,132,30,55,24.8,30.6,18.9,2.36,Forest,Scansorial,28.90337003889988,1.0966299611001205
Notomys alexis,97,32,24,22.9,37.4,6.3,-25.02,Grassland,Terrestrial,22.533360237465075,9.466639762534925
Notomys aquilo,108,37,38,26.7,34.4,17.7,-13.94,Forest,Terrestrial,24.54691949537705,12.45308050462295
Notomys cervinus,108,34,40,23.8,38.6,6.8,-24.9,Desert,Terrestrial,24.552348572036596,9.447651427963404
Notomys fuscus,98,35,32,22.4,37.7,5.3,-27.74,Grassland,Terrestrial,22.734672518766466,12.265327481233534
Notomys mitchellii,112,37,50,17.8,30.4,3.5,-31.87,Shrubland,Terrestrial,25.297877853987124,11.702122146012876
Otomys angoniensis,155,26,93,19,29.7,6.4,-17.58,Savanna,Terrestrial,33.13722991268478,-7.137229912684781
Otomys auratus,168,29,127,16.2,28.9,1.9,-28.48,Grassland,NA,35.56427188651863,-6.5642718865186325
Otomys barbouri,166,27,112,8.9,14.7,3.2,1.15,Forest,Terrestrial,35.16436186224563,-8.164361862245627
Otomys burtoni,156,30,90,16.7,22.3,11.8,4.24,Grassland,Terrestrial,33.30868227235865,-3.308682272358652
Otomys irroratus,157,29,111,16.8,28.4,4.4,-33.01,Grassland,Terrestrial,33.545283551947115,-4.545283551947115
Otomys karoensis,134,27,108,16.3,28.7,2.9,-32.38,Grassland,Terrestrial,29.40643251970432,-2.406432519704321
Otomys laminatus,188,30,165,17.5,28.4,5.8,-29.73,Grassland,Terrestrial,39.25934383631395,-9.259343836313953
Otomys occidentalis,143,28,77,22.9,29.4,15.4,6.84,Grassland,Terrestrial,30.93864560345006,-2.938645603450059
Otomys sloggetti,127,28,84,14.1,27.1,-0.6,-30.59,Grassland,Terrestrial,28.084111777147374,-0.08411177714737406
Otomys tropicalis,178,29,111,19.4,25.6,12.9,0.42,Savanna,Terrestrial,37.31679901987419,-8.316799019874189
Otomys typus,145,25,108,18.9,27.6,9.5,8.49,Savanna,Terrestrial,31.38198824099946,-6.381988240999458
Parahydromys asper,225,53,540,18.7,25.1,12,-5.77,Forest,Terrestrial,46.922346772517614,6.0776532274823865
Paraleptomys rufilatus,134,36,58,23.2,27.6,18.5,-3.19,Forest,Terrestrial,29.27070560321559,6.729294396784411
Paramelomys levipes,156,36,127,25.1,31.5,18.2,-8.13,Forest,Terrestrial,33.40912019056031,2.5908798094396914
Paramelomys lorentzii,157,35,134,26.5,32.4,19.9,-6.5,Forest,Terrestrial,33.60771793353193,1.39228206646807
Paramelomys mollis,137,35,80,19.2,25.5,12.7,-5.62,Forest,Terrestrial,29.869213370460212,5.130786629539788
Paramelomys platyops,111,27,43,25.4,30.7,19.5,-4.8,Forest,Terrestrial,25.09928011101551,1.90071988898449
Pelomys fallax,147,32,105,21.9,31,11.2,-11.48,Savanna,Terrestrial,31.73303657533652,0.26696342466348
Pelomys hopkinsi,122,31,54,18.8,24.7,12.6,-1.68,Wetlands,Terrestrial,27.10469575393816,3.8953042460618406
Pelomys isseli,140,32,72,22.1,27.9,16,0.15,Wetlands,Terrestrial,30.386284987811603,1.613715012188397
Pelomys minor,122,24,49,22.2,31.3,12,-8.96,Savanna,Terrestrial,27.091123062289288,-3.091123062289288
Petromyscus collinus,80,16,100,18.8,31.7,4.2,-26.4,Desert,Terrestrial,19.68653358125364,-3.6865335812536415
Petromyscus shortridgei,83,16,19,21.6,32.7,8.1,-18.61,Savanna,Terrestrial,20.005443900531482,-4.005443900531482
Phloeomys cumingi,418,80,1950,26.5,31.7,20.8,13.71,Forest,Arboreal,85.41186892749626,-5.411868927496258
Phloeomys pallidus,404,85,2450,23.5,29.7,16.7,16.63,Forest,Arboreal,84.25479444709883,0.7452055529011687
Pithecheir parvus,162,26,100,25.8,30.8,20.5,3.71,Forest,Arboreal,34.41340350363556,-8.413403503635557
Praomys daltoni,109,20,34,27.1,35.9,16.7,10.97,Savanna,Scansorial,24.715657316721146,-4.7156573167211455
Praomys degraaffi,111,25,39,16.1,21.6,10.2,-2.02,Forest,Scansorial,25.08842195769641,-0.08842195769641137
Praomys delectorum,100,24,29,19.1,27.2,10.2,-9.1,Forest,Scansorial,23.085720853103528,0.9142791468964724
Praomys derooi,97,21,32,26.7,33.3,18.5,8.05,Savanna,Scansorial,22.555076544103272,-1.5550765441032723
Praomys hartwigi,125,26,57,21.3,27.6,14,6.07,Forest,Scansorial,27.651627292917073,-1.6516272929170732
Praomys misonnei,112,24,35,23.6,28.9,18,0.09,Forest,Scansorial,25.257159779040506,-1.2571597790405065
Praomys morio,114,24,43,19.9,25.3,15,4.02,Forest,Scansorial,25.63806803500509,-1.638068035005091
Praomys mutoni,114,22,45,24.1,29.5,18.6,0.41,Forest,Scansorial,25.64349711166464,-3.64349711166464
Praomys obscurus,121,27,47,21.6,28.2,13.9,6.94,Savanna,Scansorial,26.906098010966545,0.09390198903345492
Praomys rostratus,114,26,50,26,32.6,18.4,7.71,Forest,Scansorial,25.65706980331351,0.3429301966864884
Praomys tullbergi,118,27,33,25.8,31.9,18.8,6.61,Forest,Scansorial,26.32930655036012,0.6706934496398809
Praomys verschureni,121,30,51,22.9,28.6,17.1,1.39,Forest,Scansorial,26.916956164285644,3.0830438357143564
Pseudohydromys carlae,96,21,15,15.4,21.9,9.2,-5.95,Forest,Terrestrial,22.329333417833908,-1.329333417833908
Pseudohydromys ellermani,96,21,17,17.7,24.1,11.1,-5.58,Forest,Terrestrial,22.334762494493457,-1.3347624944934573
Pseudohydromys fuscus,96,22,19,17.8,24.5,10.7,-6.12,Forest,Terrestrial,22.340191571153007,-0.3401915711530066
Pseudohydromys germani,94,21,26,19.7,25.5,13.4,-9.77,Forest,Terrestrial,22.000001390135036,-1.0000013901350364
Pseudohydromys murinus,91,20,17,16.9,23.5,10.1,-6.53,Forest,Terrestrial,21.436782621177482,-1.436782621177482
Pseudohydromys patriciae,100,20,22,13.5,19.9,7,-4.13,Forest,Terrestrial,23.066719084795107,-3.066719084795107
Pseudohydromys pumehanae,99,22,18,21.7,28.9,13.9,-6.57,Forest,Terrestrial,22.876264956812815,-0.8762649568128147
Pseudohydromys sandrae,102,21,20,24.5,31.3,17.3,-6.12,Forest,Terrestrial,23.420481957461945,-2.420481957461945
Pseudomys albocinereus,85,22,28,17.7,30.1,3.9,-31.55,Shrubland,Terrestrial,20.389066694825843,1.6109333051741572
Pseudomys apodemoides,74,22,18,15.1,26.5,2.5,-36.23,Shrubland,Terrestrial,18.38636559023296,3.613634409767041
Pseudomys australis,101,26,42,21.3,35.9,5,-28.5,Grassland,Terrestrial,23.30060582605379,2.69939417394621
Pseudomys bolami,67,19,16,19.3,33.3,3.7,-30.21,Shrubland,Terrestrial,17.123764690931054,1.8762353090689459
Pseudomys calabyi,85,18,20,27.4,36,17,-13.14,Forest,Terrestrial,20.367350388187646,-2.3673503881876456
Pseudomys chapmani,60,16,12,25.2,39.6,8.4,-22.77,Grassland,Terrestrial,15.855734714969595,0.14426528503040537
Pseudomys delicatulus,56,16,9,25,36,12.2,-18.68,Savanna,Terrestrial,15.129207201327494,0.8707927986725057
Pseudomys desertor,88,21,22,22.7,36.8,6.7,-25.07,Grassland,Terrestrial,20.911567388836776,0.0884326111632241
Pseudomys fieldi,102,26,40,22.9,32.9,12.4,-25.23,Shrubland,Terrestrial,23.474772724057434,2.525227275942566
Pseudomys fumeus,114,27,54,10.9,21.2,-0.6,-37.08,Forest,Terrestrial,25.66792795663261,1.3320720433673898
Pseudomys gracilicaudatus,122,27,80,20.8,32.1,8.1,-24.2,Forest,Terrestrial,27.1752737505123,-0.1752737505123001
Pseudomys hermannsburgensis,70,17,13,22.8,37.3,6.4,-25.21,Grassland,Terrestrial,17.65440899993131,-0.6544089999313094
Pseudomys higginsi,130,32,70,10.3,18.4,1.1,-42.02,Forest,Terrestrial,28.58489616452011,3.41510383547989
Pseudomys johnsoni,66,16,13,26.2,38.4,11.9,-18.06,Savanna,Terrestrial,16.936025101278535,-0.9360251012785348
Pseudomys nanus,115,25,38,26.8,37.9,13.8,-16.38,Savanna,Terrestrial,25.804091318019413,-0.8040913180194131
Pseudomys novaehollandiae,78,21,20,15.7,25.8,4.2,-32.47,Forest,Terrestrial,19.110178565545286,1.8898214344547135
Pseudomys occidentalis,99,26,42,16.1,27.5,3.3,-33.37,Shrubland,Terrestrial,22.941413876727403,3.0585861232725975
Pseudomys oralis,145,31,88,15.9,26.5,3.8,-29.69,Forest,Terrestrial,31.327697474403966,-0.32769747440396557
Pseudomys patrius,67,18,14,21.9,33.5,8.7,-22.36,Savanna,Terrestrial,17.118335614271505,0.8816643857284951
Pseudomys pilligaensis,76,18,12,17.6,31.4,2.3,-30.75,Forest,Terrestrial,18.7292703095807,-0.7292703095806985
Pseudomys shortridgei,108,26,72,15.2,25.8,3.2,-34.63,Shrubland,Terrestrial,24.639213798589385,1.3607862014106153
Rattus baluensis,169,30,110,20.2,26.6,13.7,6.07,Forest,Terrestrial,35.69772070957566,-5.697720709575663
Rattus blangorum,144,32,82,19.4,25.2,14.2,3.94,Forest,Terrestrial,31.131814269762124,0.8681857302378759
Rattus colletti,160,30,138,27.2,35,18.1,-12.77,Grassland,Terrestrial,34.15736401084061,-4.15736401084061
Rattus everetti,222,46,355,25.7,31.6,19.6,11.95,Forest,Terrestrial,45.88136925751973,0.11863074248027061
Rattus feliceus,215,46,308,25.5,30.3,20.2,-3.2,Forest,Terrestrial,44.49661413337796,1.5033858666220397
Rattus fuscipes,182,34,101,15.9,26.2,4.2,-32.34,Forest,Terrestrial,38.008037535229214,-4.008037535229214
Rattus hainaldi,133,30,81,20.3,25.5,14.6,-8.64,Forest,Terrestrial,29.15354401013721,0.8464559898627897
Rattus leucopus,158,35,94,26,32.1,19.2,-8.23,Forest,Terrestrial,33.67873237500414,1.321267624995862
Rattus lutreolus,145,28,78,14.6,24,4,-35.06,Forest,Terrestrial,31.30055209110622,-3.300552091106219
Rattus nikenii,172,38,134,27,31,22.7,0.46,Forest,Terrestrial,36.30165755347984,1.698342446520158
Rattus norvegicus,191,39,147,7.4,23.9,-10.5,43.01,Artificial Terrestrial,Terrestrial,39.749270070367594,-0.7492700703675936
Rattus rattus,162,34,120,18.8,31,5.2,20.97,Forest,Terrestrial,34.46769427023105,-0.4676942702310498
Rattus sordidus,169,31,165,25.1,33.4,15.9,-14.66,Forest,Terrestrial,35.847020317713266,-4.847020317713266
Rattus timorensis,157,30,112,19.9,26.2,12.9,-9.56,Forest,Terrestrial,33.547998090276884,-3.5479980902768844
Rattus tunneyi,136,29,84,24.5,34.6,12.7,-18.48,Savanna,Terrestrial,29.700475549116117,-0.700475549116117
Rattus vandeuseni,125,31,60,18.4,24.1,12.2,-9.82,Forest,Terrestrial,27.659770907906395,3.3402290920936046
Rattus villosissimus,151,33,144,24.2,37.8,8.6,-22.16,Grassland,Terrestrial,32.557287468850504,0.44271253114949616
Rhabdomys dilectus,111,21,39,18.5,29.2,6.2,-18.25,Savanna,NA,25.08842195769641,-4.088421957696411
Rhabdomys intermedius,111,25,44,16,30.4,-0.1,-31.39,Grassland,NA,25.101994649345283,-0.1019946493452828
Steatomys caurinus,105,16,45,27.4,36.3,17,11.51,Shrubland,Terrestrial,24.02713333969589,-8.02713333969589
Steatomys cuppedius,72,16,12,28,38.5,15.8,13.58,Savanna,Terrestrial,18.010886410927924,-2.010886410927924
Steatomys jacksoni,101,18,25,26.4,32.8,18.9,7.56,Artificial Terrestrial,Terrestrial,23.254458674447623,-5.254458674447623
Steatomys opimus,120,19,40,24.4,30.6,17.4,4.58,Forest,Terrestrial,26.707500267994927,-7.707500267994927
Steatomys parvus,76,15,13,21.7,31,10.2,-10.29,Savanna,Terrestrial,18.73198484791047,-3.7319848479104714
Steatomys pratensis,88,16,24,22,31.8,10.4,-12.88,Savanna,Terrestrial,20.916996465496325,-4.916996465496325
Stenocephalemys albipes,132,27,59,19,27.5,9.7,8.99,Savanna,Terrestrial,28.914228192218978,-1.914228192218978
Stenocephalemys albocaudata,164,32,130,12.5,20.4,3.8,7.21,Shrubland,Terrestrial,34.85403160285519,-2.854031602855187
Stenocephalemys griseicauda,154,30,99,15.5,24.3,6.1,9.99,Shrubland,Terrestrial,32.97392116800023,-2.9739211680002313
Taeromys arcuatus,215,47,227,19.9,25.4,14.2,-1.8,Forest,Terrestrial,44.27673652866622,2.72326347133378
Taeromys callitrichus,234,53,319,23.1,28,18.2,0.19,Forest,Terrestrial,47.93879757360617,5.061202426393827
Taeromys celebensis,224,50,253,24.7,29.6,19.6,-1.32,Forest,Scansorial,45.96367829720911,4.036321702790893
Taeromys hamatus,198,44,182,18.2,23.9,12.4,-2.17,Forest,Terrestrial,41.10145073455206,2.89854926544794
Taterillus arenarius,121,31,42,29,41.2,14.8,17.34,Desert,Terrestrial,26.89252531931767,4.10747468068233
Taterillus congicus,120,30,49,25.5,32.9,16.7,6.85,Savanna,Terrestrial,26.7319311129629,3.2680688870370993
Taterillus gracilis,119,31,55,27.4,36.7,16.5,11.76,Savanna,Terrestrial,26.568622368278355,4.431377631721645
Taterillus lacustris,116,31,46,28.1,39.5,14.7,12.31,Savanna,Terrestrial,26.0054035993208,4.9945964006792
Taterillus petteri,114,30,50,28.9,39.7,16.2,14.66,Grassland,Terrestrial,25.65706980331351,4.342930196686488
Taterillus tranieri,124,31,47,29.2,41.8,15.4,15.87,Grassland,Terrestrial,27.444885934956126,3.555114065043874
Thallomys loringi,144,27,80,18.9,25.8,11.4,0.24,Savanna,Scansorial,31.126385193102575,-4.126385193102575
Thallomys nigricauda,135,25,74,21.1,34.2,5.8,-22.15,Shrubland,Scansorial,29.493734191155177,-4.493734191155177
Thallomys paedulcus,140,25,72,22.2,31.6,11.1,-12.23,Shrubland,Scansorial,30.386284987811603,-5.386284987811603
Tokudaia muenninki,149,34,148,21.9,29.9,13.2,26.74,Forest,Terrestrial,32.208953672843215,1.791046327156785
Uromys caudimaculatus,295,61,868,24.2,30.1,17.8,-6.31,Forest,Scansorial,60.384433571107266,0.615566428892734
Uromys hadrourus,178,38,172,21,28.2,12.6,-16.44,Forest,Scansorial,37.48238585799044,0.5176141420095632
Zyzomys argurus,100,21,36,25.5,36.8,12.4,-18.19,Savanna,Terrestrial,23.104722621411952,-2.104722621411952
Zyzomys maini,118,27,125,27.1,36,16.8,-13.3,Forest,Terrestrial,26.579044076699383,0.4209559233006175
Zyzomys palatalis,165,28,125,25.9,37.1,13,-17.2,Savanna,Terrestrial,35.020054885869506,-7.020054885869506
Zyzomys pedunculatus,117,26,65,20.6,34.7,4.6,-23.68,Shrubland,Terrestrial,26.236575802249714,-0.23657580224971397
Zyzomys woodwardi,138,28,145,26.9,36,15.8,-15.4,Savanna,Terrestrial,30.22525433655876,-2.225254336558759
