Species,head_bodylength,hindfoot_length,weight,Mean_Temp,Max_Temp,Min_temp,Lat.mid,Habitat,Loc_niche,mass_impact,residuals
Abeomelomys sevia,122,27,54,16.1,22.8,9.3,-6,Forest,Terrestrial,27.15782252143202,-0.15782252143202058
Acomys johannis,105,18,37,27.9,37,17,12,Savanna,Terrestrial,26.52341793895838,-8.523417938958382
Acomys minous,116,19,53,16.4,27.5,4.7,35.23,Forest,Terrestrial,27.120504604815924,-8.120504604815924
Acomys muzei,86,16,19,22,29.8,13.3,-6.68,Savanna,Terrestrial,25.851695439868646,-9.851695439868646
Acomys nesiotes,118,20,52,18.2,32,4.4,35.05,Rocky Areas,Terrestrial,27.083186688199827,-7.083186688199827
Acomys ngurui,91,15,23,23.9,31.1,16,-8.63,Forest,Terrestrial,26.000967106333032,-11.000967106333032
Acomys percivali,97,13,30,25.2,32.5,17.4,3.11,Savanna,Terrestrial,26.26219252264571,-13.262192522645709
Acomys russatus,109,19,37,24.2,37.2,9.6,22.12,Rocky Areas,Terrestrial,26.52341793895838,-7.5234179389583815
Aethomys hindei,158,32,146,24.5,31.6,16.6,4.12,Savanna,Terrestrial,30.59107085011288,1.4089291498871184
Aethomys ineptus,147,30,82,17.8,31.1,2.9,-27.13,Grassland,Terrestrial,28.202724186682715,1.7972758133172846
Aethomys kaiseri,146,25,96,21.8,29.7,12.7,-7.52,Savanna,Terrestrial,28.725175019308065,-3.7251750193080646
Aethomys nyikae,143,29,90,21.4,30.8,10.4,-10.62,Forest,Terrestrial,28.50126751961149,0.4987324803885116
Apodemus alpicola,102,24,31,3.8,15.8,-8.3,46.52,Forest,Terrestrial,26.2995104392618,-2.2995104392618018
Apodemus epimelas,125,26,56,12.6,26.3,-2.5,40.29,Rocky Areas,Terrestrial,27.23245835466421,-1.2324583546642103
Apodemus semotus,101,24,33,19.6,28,10.1,23.74,Forest,Terrestrial,26.374146272493995,-2.374146272493995
Apomys abrae,140,36,69,21.1,27.4,14,17.1,Forest,Terrestrial,27.717591270673463,8.282408729326537
Apomys aurorae,140,35,78,24.5,30.4,18,15.63,Forest,Terrestrial,28.053452520218332,6.9465474797816675
Apomys banahao,138,36,79,22.8,28.6,16.8,14.05,Forest,Terrestrial,28.090770436834426,7.9092295631655745
Apomys brownorum,131,34,73,21.3,27.3,14.9,15.47,Forest,Terrestrial,27.86686293713785,6.133137062862151
Apomys camiguinensis,110,33,40,25.6,31.5,19.5,9.18,Forest,Terrestrial,26.63537168880667,6.364628311193329
Apomys datae,136,36,84,21.2,27.4,14,17.28,Forest,Terrestrial,28.27736001991491,7.722639980085091
Apomys gracilirostris,150,38,88,22.4,28.3,16.4,13.22,Forest,Terrestrial,28.426631686379295,9.573368313620705
Apomys hylocetes,112,30,45,22.7,29.5,15.4,7.86,Forest,Terrestrial,26.82196127188715,3.178038728112849
Apomys insignis,98,30,31,26,31.9,20.1,7.68,Forest,Terrestrial,26.2995104392618,3.7004895607381982
Apomys iridensis,148,38,96,24.8,30.7,18.6,14.89,Forest,Terrestrial,28.725175019308065,9.274824980691935
Apomys littoralis,99,25,22,25.6,31.9,19.3,7.47,Forest,Terrestrial,25.963649189716936,-0.9636491897169357
Apomys lubangensis,136,39,90,27,32.3,22.3,13.78,Forest,Terrestrial,28.50126751961149,10.498732480388512
Apomys magnus,147,40,104,22.9,28.8,16.9,14.06,Forest,Terrestrial,29.023718352236834,10.976281647763166
Apomys microdon,107,27,36,24.4,30.3,17.9,15.86,Forest,Terrestrial,26.486100022342285,0.5138999776577151
Apomys minganensis,137,33,75,24.1,30,17.6,15.61,Forest,Terrestrial,27.941498770370043,5.058501229629957
Apomys musculus,88,22,20,24.3,30.2,18.1,15.04,Forest,Terrestrial,25.889013356484742,-3.8890133564847424
Apomys sacobianus,154,38,92,24.9,31,18.9,15.14,Forest,Terrestrial,28.57590335284368,9.424096647156318
Apomys sierrae,140,36,82,23.5,29.5,16.6,16.87,Forest,Terrestrial,28.202724186682715,7.797275813317285
Apomys zambalensis,143,38,88,24.8,30.8,19,15.32,Forest,Terrestrial,28.426631686379295,9.573368313620705
Arvicanthis blicki,127,29,98,13.4,21.4,4.5,7.05,Grassland,Terrestrial,28.799810852540258,0.20018914745974214
Arvicanthis neumanni,146,28,85,24.1,32,15.8,2.95,Savanna,Terrestrial,28.314677936531005,-0.3146779365310053
Arvicanthis niloticus,141,31,102,25.6,35.1,15,8.82,Savanna,Terrestrial,28.949082519004644,2.0509174809953556
Arvicanthis rufinus,144,33,103,26.3,33.2,18.2,8.09,Savanna,Terrestrial,28.986400435620737,4.013599564379263
Bandicota bengalensis,195,35,244,24.8,35.9,12.2,21.17,Forest,Terrestrial,34.248226678490326,0.751773321509674
Batomys granti,202,36,179,19.3,25.7,12.1,17.07,Forest,Terrestrial,31.82256209844406,4.17743790155594
Batomys hamiguitan,183,35,173,24.1,30.2,17.9,6.73,Forest,NA,31.598654598747483,3.4013454012525166
Batomys russatus,151,30,115,26.9,31.8,21.6,10.15,Forest,Terrestrial,29.434215435013897,0.5657845649861031
Batomys salomonseni,185,37,190,25.4,31.1,19.4,9.47,Forest,Terrestrial,32.23305918122112,4.7669408187788775
Batomys uragon,186,37,168,23.3,28.7,17.4,13.66,Forest,Terrestrial,31.412065015667,5.587934984333
Berylmys berdmorei,204,42,238,24.8,32,15.9,16.61,Forest,Terrestrial,34.024319178793746,7.975680821206254
Berylmys bowersi,266,59,407,19.9,30.1,8.4,22.43,Forest,Terrestrial,40.331047086914026,18.668952913085974
Bullimus bagobus,226,64,396,26.1,31.8,20.2,8.39,Forest,Terrestrial,39.92055000413696,24.079449995863037
Bullimus gamay,234,52,368,26.4,32,20.8,9.17,Forest,Terrestrial,38.875648338886265,13.124351661113735
Bullimus luzonicus,249,52,444,23.8,29.9,17,16.23,Forest,Terrestrial,41.711810001709594,10.288189998290406
Bunomys fratrorum,174,40,175,24.4,29,19.8,1.01,Forest,Terrestrial,31.673290431979677,8.326709568020323
Bunomys karokophilus,172,39,162,22.1,27.4,16.5,-1.35,Forest,Terrestrial,31.188157515970424,7.811842484029576
Bunomys torajae,183,38,113,16.2,21.9,10.4,-2.87,Forest,Terrestrial,29.359579601781704,8.640420398218296
Carpomys melanurus,182,33,165,19.6,25.8,12.6,16.54,Forest,Arboreal,31.300111265818714,1.699888734181286
Carpomys phaeurus,170,32,123,18.8,25.2,11.4,17.08,Forest,Arboreal,29.732758767942666,2.2672412320573336
Chiropodomys major,104,24,42,26.4,31.9,20.9,3.56,Forest,Arboreal,26.710007522038865,-2.7100075220388646
Chiruromys forbesi,121,29,73,24.6,30.1,18.6,-8.83,Forest,Arboreal,27.86686293713785,1.1331370628621507
Chiruromys vates,110,24,46,24.9,31.6,17.6,-7.45,Forest,Arboreal,26.859279188503248,-2.8592791885032476
Chrotomys gonzalesi,167,36,122,24.2,29.4,18.3,13.69,Forest,Terrestrial,29.69544085132657,6.30455914867343
Chrotomys sibuyanensis,160,34,104,24.1,29.5,18.5,12.41,Forest,Terrestrial,29.023718352236834,4.976281647763166
Chrotomys silaceus,148,35,84,18.9,25.3,11.6,17.07,Forest,Terrestrial,28.27736001991491,6.722639980085091
Chrotomys whiteheadi,190,43,238,21.9,28.3,14.7,17.04,Forest,Terrestrial,34.024319178793746,8.975680821206254
Crateromys heaneyi,280,64,124,25.1,30.9,19.3,11.26,Forest,Arboreal,29.770076684558763,34.22992331544124
Crateromys schadenbergi,336,72,1450,18.6,25,11.4,16.85,Forest,Arboreal,79.2536341175025,-7.2536341175025
Crunomys celebensis,141,26,45,18.9,24.6,13.2,-2.34,Forest,Terrestrial,26.82196127188715,-0.821961271887151
Crunomys melanius,110,26,54,25.6,31.8,19.4,7.33,Forest,Terrestrial,27.15782252143202,-1.1578225214320206
Crunomys suncoides,108,27,37,20.3,27.2,12.8,8.13,Forest,Terrestrial,26.52341793895838,0.4765820610416185
Dasymys foxi,157,34,118,25,33.8,14.6,10.03,Savanna,Terrestrial,29.546169184862183,4.453830815137817
Dasymys montanus,145,30,85,13.5,18.2,8.6,0.37,Forest,Terrestrial,28.314677936531005,1.6853220634689947
Dasymys rufulus,144,33,78,26.5,33.6,18.1,8.73,Savanna,Terrestrial,28.053452520218332,4.9465474797816675
Dendromus insignis,84,20,14,15.1,20.9,8.9,0.98,Forest,Terrestrial,25.665105856788166,-5.665105856788166
Dendromus kahuziensis,80,22,11,14.1,18.3,9.6,-2.2,Forest,Terrestrial,25.553152106939876,-3.5531521069398764
Dendromus kivu,74,19,10,16.4,21.9,10.8,-1.32,Forest,Terrestrial,25.51583419032378,-6.51583419032378
Dendromus lovati,74,18,16,15.1,23.8,5.9,10.21,Grassland,Terrestrial,25.73974169002036,-7.7397416900203595
Dendromus melanotis,69,18,7,20.7,31.6,8,-16.18,Savanna,Terrestrial,25.40388044047549,-7.40388044047549
Dendromus messorius,60,17,8,23.3,29.5,16.5,3.42,Grassland,Terrestrial,25.441198357091587,-8.441198357091587
Dendromus nyikae,67,17,10,21.2,31.2,9.3,-13.02,Savanna,Terrestrial,25.51583419032378,-8.51583419032378
Dendromus oreas,69,19,11,21.6,26.8,16.4,4.42,Grassland,Terrestrial,25.553152106939876,-6.553152106939876
Dendromus ruppi,74,20,11,21.2,27.8,14.3,4.02,Forest,Terrestrial,25.553152106939876,-5.553152106939876
Deomys ferrugineus,137,38,76,23.8,29.2,17.9,0.48,Forest,Terrestrial,27.97881668698614,10.02118331301386
Dephomys defua,126,26,47,25.9,32.1,18.7,6.75,Forest,Arboreal,26.896597105119344,-0.8965971051193442
Desmodillus auricularis,109,25,46,19.6,33.1,4.1,-25.16,Desert,Terrestrial,26.859279188503248,-1.8592791885032476
Desmomys harringtoni,136,28,65,19,27.6,9.6,9.45,Savanna,Scansorial,27.56831960420908,0.4316803957909201
Desmomys yaldeni,124,28,47,18.7,26.4,10.3,7.51,Forest,Scansorial,26.896597105119344,1.1034028948806558
Dinomys branickii,760,NA,12500,23,28.9,16.6,-5.7,Forest,Terrestrial,491.61661272536696,NA
Echiothrix leucura,213,51,274,24.4,29,19.9,1.08,Forest,Terrestrial,35.36776417697321,15.63223582302679
Gerbilliscus boehmi,162,41,146,20.9,29.8,10.5,-9.52,Savanna,Terrestrial,30.59107085011288,10.408929149887118
Gerbilliscus gambiana,157,31,94,27.6,37.8,16.2,13.58,Savanna,Terrestrial,28.65053918607587,2.3494608139241286
Gerbilliscus guineae,141,33,73,26.8,34.9,17.3,10.78,Savanna,Terrestrial,27.86686293713785,5.133137062862151
Gerbilliscus inclusus,156,41,116,23.6,32,14,-14.23,Savanna,Terrestrial,29.471533351629994,11.528466648370006
Gerbilliscus kempi,158,33,101,25.7,33.2,17,7.26,Savanna,Terrestrial,28.911764602388548,4.088235397611452
Gerbilliscus robustus,152,35,103,25.5,34.5,15.5,7.63,Savanna,Terrestrial,28.986400435620737,6.013599564379263
Gerbilliscus validus,167,34,129,23.2,31.9,13.2,-4.73,Savanna,Terrestrial,29.956666267639243,4.043333732360757
Gerbillurus paeba,96,27,25,20.1,33.2,4.8,-24.5,Savanna,Terrestrial,26.075602939565226,0.9243970604347744
Gerbillurus setzeri,106,32,37,20.2,29.8,9.6,-20.07,Desert,Terrestrial,26.52341793895838,5.4765820610416185
Gerbillurus tytonis,99,33,25,18.7,29.5,6.4,-24.97,Desert,Terrestrial,26.075602939565226,6.924397060434774
Gerbillurus vallinus,94,30,36,19.1,33.4,2.9,-27.62,Desert,Terrestrial,26.486100022342285,3.513899977657715
Gerbillus amoenus,80,23,13,22.7,37.4,5.6,25.67,Desert,Terrestrial,25.62778794017207,-2.6277879401720696
Gerbillus bottai,86,20,23,28.6,40.1,16.1,13.98,Artificial Terrestrial,Terrestrial,26.000967106333032,-6.000967106333032
Gerbillus campestris,103,27,29,18.9,34.1,2.8,31.2,Desert,Terrestrial,26.224874606029612,0.7751253939703879
Gerbillus cosensis,100,26,32,25.1,32.1,17.8,2.27,Desert,Terrestrial,26.3368283558779,-0.3368283558778984
Gerbillus dasyurus,91,25,24,23.3,38.6,5.7,26.8,Desert,Terrestrial,26.03828502294913,-1.038285022949129
Gerbillus dunni,98,30,39,26.7,35.3,17.9,7.93,Shrubland,Terrestrial,26.598053772190575,3.4019462278094252
Gerbillus floweri,117,35,54,20,33.9,3.8,29.89,Desert,Terrestrial,27.15782252143202,7.842177478567979
Gerbillus harwoodi,75,20,14,20.2,27.4,12.2,-3.01,Savanna,Terrestrial,25.665105856788166,-5.665105856788166
Gerbillus lowei,104,26,36,21.1,31.5,8.2,13,Rocky Areas,Terrestrial,26.486100022342285,-0.4861000223422849
Gerbillus maghrebi,112,27,43,16.9,30.4,3.5,33.66,Grassland,Terrestrial,26.74732543865496,0.25267456134503874
Gerbillus nancillus,65,18,9,28.1,39.9,14.5,15.15,Grassland,Terrestrial,25.478516273707683,-7.478516273707683
Gerbillus nigeriae,93,27,26,26.1,37.2,13.9,19.16,Desert,Terrestrial,26.112920856181322,0.8870791438186778
Gerbillus percivali,75,20,14,22.6,30,14.8,-3.35,Savanna,Terrestrial,25.665105856788166,-5.665105856788166
Gerbillus perpallidus,107,33,36,20.6,33.5,5.7,30.38,Desert,Terrestrial,26.486100022342285,6.513899977657715
Gerbillus pusillus,66,20,15,25,32.8,16.9,4.13,Savanna,Terrestrial,25.702423773404263,-5.702423773404263
Gerbillus rosalinda,97,25,28,27.4,38.5,15.3,12.3,Grassland,Terrestrial,26.187556689413515,-1.1875566894135154
Gerbillus rupicola,101,26,36,28.2,40.2,15,15.41,Grassland,Terrestrial,26.486100022342285,-0.4861000223422849
Gerbillus simoni,81,21,17,18.1,32.9,2.2,33.82,Desert,Terrestrial,25.777059606636456,-4.777059606636456
Grammomys aridulus,114,23,43,23.3,34.6,9.4,13.14,Shrubland,Arboreal,26.74732543865496,-3.7473254386549613
Grammomys caniceps,97,21,28,26.6,31.9,20.3,0.4,Shrubland,Arboreal,26.187556689413515,-5.1875566894135154
Grammomys cometes,118,24,52,21.8,32.3,10.2,-24.59,Savanna,Arboreal,27.083186688199827,-3.0831866881998273
Grammomys dolichurus,112,24,35,21.6,30.2,11.7,-10.27,Savanna,Arboreal,26.44878210572619,-2.4487821057261883
Grammomys dryas,112,24,43,16.8,22.3,11.1,-1.43,Forest,Arboreal,26.74732543865496,-2.7473254386549613
Grammomys ibeanus,120,26,47,19.5,27.2,11.1,-4.67,Savanna,Arboreal,26.896597105119344,-0.8965971051193442
Grammomys kuru,114,25,53,24.3,29.8,18.1,2.37,Forest,Arboreal,27.120504604815924,-2.120504604815924
Grammomys macmillani,105,24,34,24.9,32.4,16.3,2.82,Savanna,Arboreal,26.41146418911009,-2.4114641891100916
Hadromys yunnanensis,132,26,59,19.6,29.5,8.1,24.27,Unknown,Terrestrial,27.3444121045125,-1.3444121045125002
Haeromys minahassae,76,20,14,24.8,29.5,20.1,0.54,Forest,Arboreal,25.665105856788166,-5.665105856788166
Hybomys badius,122,29,64,18.1,23.6,13.1,4.25,Forest,Terrestrial,27.531001687592983,1.4689983124070167
Hybomys basilii,137,31,86,19.7,24.9,15.1,3.48,Forest,Terrestrial,28.351995853147102,2.648004146852898
Hybomys planifrons,124,31,51,25.5,32.7,17.5,7.54,Forest,Terrestrial,27.04586877158373,3.9541312284162693
Hybomys trivirgatus,124,32,56,25.8,32,18.6,6.51,Forest,Terrestrial,27.23245835466421,4.76754164533579
Hybomys univittatus,114,29,51,24.1,29.7,18.1,0.14,Forest,Terrestrial,27.04586877158373,1.9541312284162693
Hydromys chrysogaster,272,58,632,21.9,32.7,9.6,-21.7,Forest,Semi aquatic,48.7275783255357,9.272421674464297
Hylomyscus aeta,94,21,25,24,29.8,17.7,0.8,Forest,Arboreal,26.075602939565226,-5.075602939565226
Hylomyscus alleni,90,19,18,25,30.8,18.4,3.25,Forest,Arboreal,25.814377523252553,-6.814377523252553
Hylomyscus anselli,101,21,28,20,29.7,8.5,-11.09,Forest,Arboreal,26.187556689413515,-5.1875566894135154
Hylomyscus arcimontensis,90,20,19,21.7,29.3,13.4,-7.05,Forest,Arboreal,25.851695439868646,-5.851695439868646
Hylomyscus denniae,102,21,32,20.7,26.4,15,0.57,Forest,Arboreal,26.3368283558779,-5.336828355877898
Hylomyscus endorobae,102,22,28,15.1,21.6,8,0.53,Forest,Arboreal,26.187556689413515,-4.1875566894135154
Hylomyscus grandis,97,20,33,18.2,23.9,11.1,6.21,Forest,Arboreal,26.374146272493995,-6.374146272493995
Hylomyscus kerbispeterhansi,92,20,24,19.3,26.1,11.9,0.52,Forest,Arboreal,26.03828502294913,-6.038285022949129
Hylomyscus parvus,67,15,13,24,29.7,17.8,3.11,Forest,Arboreal,25.62778794017207,-10.62778794017207
Hylomyscus stella,85,17,20,22,27.6,16.3,0.24,Forest,Arboreal,25.889013356484742,-8.889013356484742
Hylomyscus vulcanorum,95,20,22,17.4,23,11.5,-2.11,Forest,Arboreal,25.963649189716936,-5.963649189716936
Leggadina forresti,87,14,19,22.9,37.3,6.5,-24.61,Grassland,Terrestrial,25.851695439868646,-11.851695439868646
Leggadina lakedownensis,72,15,20,26.1,37.8,12.5,-18.02,Savanna,Terrestrial,25.889013356484742,-10.889013356484742
Leimacomys buettneri,118,23,30,25,31.8,16.8,8.26,Unknown,Terrestrial,26.26219252264571,-3.2621925226457087
Lemniscomys barbarus,100,24,90,17,30.5,3.4,34.33,Shrubland,Terrestrial,28.50126751961149,-4.501267519611488
Lemniscomys bellieri,109,25,36,26.7,33.6,18.7,9.21,Savanna,Terrestrial,26.486100022342285,-1.4861000223422849
Lemniscomys linulus,107,26,27,26.7,35.2,16.7,11.03,Savanna,Terrestrial,26.15023877279742,-0.15023877279741882
Lemniscomys rosalia,126,26,54,21.9,32.6,9,-17.66,Savanna,Terrestrial,27.15782252143202,-1.1578225214320206
Lemniscomys striatus,122,28,45,24.1,31,16.3,2.13,Savanna,Terrestrial,26.82196127188715,1.178038728112849
Lemniscomys zebra,104,27,38,25.9,34.5,15.9,8,Savanna,Terrestrial,26.560735855574478,0.43926414442552186
Lenomys meyeri,262,46,252,24,29,18.9,-1.67,Forest,Scansorial,34.54677001141909,11.453229988580908
Lenothrix canus,192,34,150,26,31.3,20.5,3.41,Forest,Arboreal,30.740342516577268,3.259657483422732
Leopoldamys ciliatus,235,50,362,22.9,28.4,17.6,1.31,Forest,Terrestrial,38.65174083918969,11.348259160810308
Leopoldamys milleti,252,NA,425,20.3,26.9,13.3,12.15,Forest,Terrestrial,41.00276958600376,NA
Leopoldamys neilli,218,42,220,26.2,33.6,17.1,16.43,Forest,Terrestrial,33.35259667970401,8.647403320295993
Leporillus conditor,172,45,408,18.5,31.3,4,-32.61,Shrubland,Terrestrial,40.36836500353012,4.631634996469877
Leptomys elegans,157,36,79,23.7,29.9,17,-8.25,Forest,Terrestrial,28.090770436834426,7.9092295631655745
Leptomys ernstmayri,139,38,59,22,28.3,15.2,-6.03,Forest,Terrestrial,27.3444121045125,10.6555878954875
Leptomys paulus,125,34,42,19.7,25.4,13.5,-9.68,Forest,NA,26.710007522038865,7.289992477961135
Leptomys signatus,148,40,80,24.8,31.6,17.4,-7.26,Forest,Terrestrial,28.128088353450522,11.871911646549478
Limnomys bryophilus,130,33,64,20.5,27.2,13.4,8.02,Forest,Scansorial,27.531001687592983,5.468998312407017
Limnomys sibuanus,127,30,64,22.5,29,15.7,7.68,Forest,Scansorial,27.531001687592983,2.4689983124070167
Lophuromys brevicaudus,114,21,43,12.5,20.4,3.7,7.21,Shrubland,Terrestrial,26.74732543865496,-5.747325438654961
Lophuromys chercherensis,128,23,61,17.7,27.1,7.9,9.32,Forest,Terrestrial,27.419047937744693,-4.419047937744693
Lophuromys chrysopus,114,21,43,20,27.7,11.6,6.48,Forest,Terrestrial,26.74732543865496,-5.747325438654961
Lophuromys cinereus,122,24,52,14.7,19.2,9.9,-2.26,Forest,Terrestrial,27.083186688199827,-3.0831866881998273
Lophuromys dieterleni,123,22,61,18,23.7,11,6.21,Forest,Terrestrial,27.419047937744693,-5.419047937744693
Lophuromys luteogaster,102,21,34,23.1,28.5,17.5,0.27,Forest,Terrestrial,26.41146418911009,-5.411464189110092
Lophuromys machangui,123,21,52,21.1,29.5,11.7,-11.6,Savanna,Terrestrial,27.083186688199827,-6.083186688199827
Lophuromys makundii,125,22,49,16,23.1,7.5,-4.44,Forest,Terrestrial,26.971232938351537,-4.9712329383515375
Lophuromys medicaudatus,103,21,35,15.6,20.7,10.3,-1.84,Forest,Terrestrial,26.44878210572619,-5.448782105726188
Lophuromys melanonyx,146,23,95,12,19.9,3.3,7.26,Shrubland,Terrestrial,28.687857102691968,-5.687857102691968
Lophuromys menageshae,134,22,74,15.6,23.9,7,9.6,Forest,Terrestrial,27.904180853753946,-5.904180853753946
Lophuromys pseudosikapusi,134,24,60,22.1,29.1,14.6,7.01,Forest,Terrestrial,27.381730021128597,-3.3817300211285968
Lophuromys rahmi,102,16,32,16.4,21.7,11,-2.01,Forest,Terrestrial,26.3368283558779,-10.336828355877898
Lophuromys roseveari,128,22,64,20.5,26,15.4,4.25,Forest,Terrestrial,27.531001687592983,-5.531001687592983
Lophuromys sabunii,128,22,52,20.8,28.5,11.8,-7.81,Forest,Terrestrial,27.083186688199827,-5.083186688199827
Lophuromys simensis,133,23,57,18,27.5,7.6,12.24,Shrubland,NA,27.269776271280307,-4.269776271280307
